time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail,trace_id_front,trace_id_tail
1500.0,59.575892751597465,15.138404772340197,255.0,1.0,3.0,1.0,1505.0,59.55564867269151,14.666477681624102,255.0,2.0,3.0,5605.0,2,2
1501.0,59.597707190339946,15.597821315105762,256.0,1.0,3.0,2.0,1510.0,59.56354500953403,14.460919243340973,256.0,2.0,3.0,5606.0,2,2
1503.0,59.6145660360819,15.93177099199735,257.0,1.0,3.0,3.0,1515.0,59.57097288813282,14.790972300172122,257.0,2.0,3.0,5607.0,2,2
1506.0,59.6279739315118,15.477167726206927,258.0,1.0,3.0,4.0,1519.0,59.58324902736062,14.2595122324928,258.0,2.0,3.0,5608.0,2,2
1509.0,59.64390405313827,15.452742705914662,259.0,1.0,3.0,5.0,1524.0,59.59401591970753,14.34108061898258,259.0,2.0,3.0,5609.0,2,2
1513.0,59.66222677533341,15.33361168578163,260.0,1.0,3.0,6.0,1530.0,59.60758841284998,14.433376385187875,260.0,2.0,3.0,5610.0,2,2
1517.0,59.68256338714519,16.168940109408783,261.0,1.0,3.0,7.0,1537.0,59.61809071234234,14.855657511257515,261.0,2.0,3.0,5611.0,2,2
1522.0,59.69652167735904,15.183037958525889,262.0,1.0,3.0,8.0,1543.0,59.6297766491803,14.69601084494883,262.0,2.0,3.0,5612.0,2,2
1525.0,59.71025640298251,16.33197938971763,263.0,1.0,3.0,9.0,1547.0,59.6407092269685,14.431117918911315,263.0,2.0,3.0,5613.0,2,2
1529.0,59.71784802820471,15.738580300409213,264.0,1.0,3.0,10.0,1551.0,59.648401136136414,14.631487238239869,264.0,2.0,3.0,5614.0,2,2
1533.0,59.72388662157756,15.003220372643144,265.0,1.0,3.0,11.0,1555.0,59.65421419803741,14.893965945318884,265.0,2.0,3.0,5615.0,2,2
1536.0,59.73269529089437,15.07686511790021,266.0,1.0,3.0,12.0,1558.0,59.66309051103078,14.82756292313273,266.0,2.0,3.0,5616.0,2,2
1539.0,59.74746804693158,16.053522005198506,267.0,1.0,3.0,13.0,1561.0,59.67816117420355,14.596029734467512,267.0,2.0,3.0,5617.0,2,2
1543.0,59.76133638159353,15.64503663789096,268.0,1.0,3.0,14.0,1564.0,59.69531079329053,14.58329655585956,268.0,2.0,3.0,5618.0,2,2
1548.0,59.78222095575561,16.092657270974623,269.0,1.0,3.0,15.0,1566.0,59.724741786720045,14.880748152138846,269.0,2.0,3.0,5619.0,2,2
1553.0,59.80742987189392,16.658897462333947,270.0,1.0,3.0,16.0,1569.0,59.75891268274104,14.432437001032136,270.0,2.0,3.0,5620.0,2,2
1558.0,59.82882191420551,16.147099913830804,271.0,1.0,3.0,17.0,1573.0,59.78446087720066,14.118956465049855,271.0,2.0,3.0,5621.0,2,2
1561.0,59.84378576404436,16.432310844127947,272.0,1.0,3.0,18.0,1577.0,59.79601933992003,14.653784155302995,272.0,2.0,3.0,5622.0,2,2
1564.0,59.85208600196237,15.068303774863486,273.0,1.0,3.0,19.0,1580.0,59.80560957369727,14.77778722808857,273.0,2.0,3.0,5623.0,2,2
1565.0,59.86414327502362,16.35705269980599,274.0,1.0,3.0,20.0,1582.0,59.813707823762286,14.74476490082281,274.0,2.0,3.0,5624.0,2,2
1567.0,59.87221313512911,16.156894526483494,275.0,1.0,3.0,21.0,1584.0,59.8214229498242,14.717955220556748,275.0,2.0,3.0,5625.0,2,2
1570.0,59.879114652297325,15.141498257491923,276.0,1.0,3.0,22.0,1586.0,59.831786234581095,14.174007886807416,276.0,2.0,3.0,5626.0,2,2
1573.0,59.89076465717558,15.107821037983344,277.0,1.0,3.0,23.0,1589.0,59.84297820070805,13.965539610110588,277.0,2.0,3.0,5627.0,2,2
1576.0,59.90915846815983,15.85892345854254,278.0,1.0,3.0,24.0,1595.0,59.85040406836093,14.881472426312664,278.0,2.0,3.0,5628.0,2,2
1579.0,59.93093467905457,16.36997802363903,279.0,1.0,3.0,25.0,1600.0,59.864007853811785,14.736489419514784,279.0,2.0,3.0,5629.0,2,2
1583.0,59.94850317885904,15.59634192129018,280.0,1.0,3.0,26.0,1605.0,59.87887741349133,14.871056855662284,280.0,2.0,3.0,5630.0,2,2
1587.0,59.96736095691558,15.452066778472314,281.0,1.0,3.0,27.0,1610.0,59.89614684436463,14.669172413995453,281.0,2.0,3.0,5631.0,2,2
1592.0,59.98828686227315,15.1749868060472,282.0,1.0,3.0,28.0,1615.0,59.91902413447007,14.315562036038118,282.0,2.0,3.0,5632.0,2,2
1597.0,60.01247955009264,15.814566554614254,283.0,1.0,3.0,29.0,1621.0,59.94070805315607,14.345952572404128,283.0,2.0,3.0,5633.0,2,2
1603.0,60.02849828135125,15.013724673207332,284.0,1.0,3.0,30.0,1627.0,59.9574644768963,14.319337905050364,284.0,2.0,3.0,5634.0,2,2
1610.0,60.04540527838645,15.27822993764889,285.0,1.0,3.0,31.0,1633.0,59.97610810865,14.150675806333828,285.0,2.0,3.0,5635.0,2,2
1617.0,60.05866665702948,16.010631322944587,286.0,1.0,3.0,32.0,1640.0,59.98936945723207,14.925970687899962,286.0,2.0,3.0,5636.0,2,2
1624.0,60.06618860120599,15.041339142993989,287.0,1.0,3.0,33.0,1644.0,60.006377133395,13.856869130507157,287.0,2.0,3.0,5637.0,2,2
1629.0,60.07586840424645,15.264390669688698,288.0,1.0,3.0,34.0,1648.0,60.01747197932411,13.954264516530651,288.0,2.0,3.0,5638.0,2,2
1633.0,60.08765671053334,16.07585849611424,289.0,1.0,3.0,35.0,1652.0,60.02768991960627,14.165012802481598,289.0,2.0,3.0,5639.0,2,2
1638.0,60.10189530770023,16.105933542132867,290.0,1.0,3.0,36.0,1657.0,60.04085922451107,14.251628997131146,290.0,2.0,3.0,5640.0,2,2
1643.0,60.113084777821086,15.259971045678958,291.0,1.0,3.0,37.0,1662.0,60.05060584798259,14.965157663608194,291.0,2.0,3.0,5641.0,2,2
1646.0,60.124841192367306,15.20469524773292,292.0,1.0,3.0,38.0,1665.0,60.061988323194,14.276665366102678,292.0,2.0,3.0,5642.0,2,2
1648.0,60.13886943495496,15.953353915171872,293.0,1.0,3.0,39.0,1669.0,60.06781934926069,14.733502114921626,293.0,2.0,3.0,5643.0,2,2
1651.0,60.147276379320566,15.443202165033384,294.0,1.0,3.0,40.0,1672.0,60.07650294486488,14.396459947112335,294.0,2.0,3.0,5644.0,2,2
1654.0,60.1547053866165,15.111838546972065,295.0,1.0,3.0,41.0,1675.0,60.08405743569932,14.36049875072176,295.0,2.0,3.0,5645.0,2,2
1656.0,60.16767093630978,15.301950800089294,296.0,1.0,3.0,42.0,1679.0,60.08914059790658,14.937841573025826,296.0,2.0,3.0,5646.0,2,2
1658.0,60.18226390607447,15.269126217282627,297.0,1.0,3.0,43.0,1683.0,60.096667680323954,14.853707269585009,297.0,2.0,3.0,5647.0,2,2
1661.0,60.19880238762754,15.183265029670562,298.0,1.0,3.0,44.0,1687.0,60.10945582829732,14.336282726574945,298.0,2.0,3.0,5648.0,2,2
1664.0,60.22454415680316,15.467213708584108,299.0,1.0,3.0,45.0,1693.0,60.12141331997135,14.510652576707576,299.0,2.0,3.0,5649.0,2,2
1669.0,60.24808515048896,15.376158008284143,300.0,1.0,3.0,46.0,1700.0,60.13426761671607,14.775816571051074,300.0,2.0,3.0,5650.0,2,2
