time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail
1475.0,59.45117215305776,15.239631463153447,252,1,1,0,1476.0,59.4470150121506,14.965707265778462,252.0,2.0,1.0,7122.0
1479.0,59.475545265009885,15.531140563744012,253,1,1,1,1486.0,59.44783298431896,14.796570319849922,253.0,2.0,1.0,7123.0
1484.0,59.49519181210427,15.34613409377646,254,1,1,2,1494.0,59.45797793273404,14.488748805876474,254.0,2.0,1.0,7124.0
1489.0,59.51485073695903,15.253637431000303,255,1,1,3,1502.0,59.46826698853135,14.91632258500412,255.0,2.0,1.0,7125.0
1493.0,59.5352218408839,15.964329518391056,256,1,1,4,1508.0,59.48281561790515,14.606964503395876,256.0,2.0,1.0,7126.0
1497.0,59.55217487733346,16.123872756385463,257,1,1,5,1513.0,59.497894110437805,14.120202916242244,257.0,2.0,1.0,7127.0
1501.0,59.56853191127279,16.43663381161551,258,1,1,6,1518.0,59.51146811967229,14.022068694222265,258.0,2.0,1.0,7128.0
1505.0,59.58075574770948,15.702954529074256,259,1,1,7,1522.0,59.52429383921812,14.16425326770967,259.0,2.0,1.0,7129.0
1508.0,59.592749134909546,15.635596998230849,260,1,1,8,1526.0,59.53227081960496,14.865193963205511,260.0,2.0,1.0,7130.0
1511.0,59.60358187720325,15.671599422232717,261,1,1,9,1528.0,59.54744200387005,14.543199414113555,261.0,2.0,1.0,7131.0
1514.0,59.617595638860784,16.310876659419524,262,1,1,10,1531.0,59.56195801727525,14.89624897370192,262.0,2.0,1.0,7132.0
1519.0,59.63212636196831,15.363357738684272,263,1,1,11,1534.0,59.58635244091005,14.72973594187398,263.0,2.0,1.0,7133.0
1524.0,59.653541438358246,15.67508207770737,264,1,1,12,1539.0,59.61085679814358,14.295048687724195,264.0,2.0,1.0,7134.0
1528.0,59.67315787522201,16.492974745830566,265,1,1,13,1544.0,59.62879570192256,14.228652211096383,265.0,2.0,1.0,7135.0
1532.0,59.68640109884171,15.956159499436026,266,1,1,14,1548.0,59.64384284374522,14.002023495526188,266.0,2.0,1.0,7136.0
1536.0,59.700569923680455,15.706468881216953,267,1,1,15,1552.0,59.65865104291185,13.907685734376171,267.0,2.0,1.0,7137.0
1540.0,59.71745026178424,16.386206593942973,268,1,1,16,1556.0,59.67508407043998,13.675586574811938,268.0,2.0,1.0,7138.0
1545.0,59.73267443851567,15.058114192557108,269,1,1,17,1561.0,59.689446304283045,14.54736688468386,269.0,2.0,1.0,7139.0
1550.0,59.75095780107696,15.03464552841847,270,1,1,18,1565.0,59.70986369881986,13.967979164016535,270.0,2.0,1.0,7140.0
1555.0,59.76900081252582,15.09166925418196,271,1,1,19,1570.0,59.72602952405794,14.877055614526208,271.0,2.0,1.0,7141.0
1559.0,59.78567387302414,15.307973497638535,272,1,1,20,1574.0,59.74187092151882,14.846036668658392,272.0,2.0,1.0,7142.0
1562.0,59.80102317172362,15.635637254528628,273,1,1,21,1577.0,59.75794167454264,13.83252955743156,273.0,2.0,1.0,7143.0
1565.0,59.81557091937686,15.531903878589333,274,1,1,22,1581.0,59.76896477410382,14.531775965419651,274.0,2.0,1.0,7144.0
1568.0,59.83346055707213,15.614167665575303,275,1,1,23,1585.0,59.7845406173817,13.669290487340382,275.0,2.0,1.0,7145.0
1572.0,59.85315418801745,15.255453576933366,276,1,1,24,1591.0,59.79924586302754,14.449438957886594,276.0,2.0,1.0,7146.0
1576.0,59.87513384457537,15.406028718443482,277,1,1,25,1597.0,59.81892187035618,13.36833354308797,277.0,2.0,1.0,7147.0
1580.0,59.89820771407409,15.747984299119487,278,1,1,26,1604.0,59.83694000293217,13.141544228119669,278.0,2.0,1.0,7148.0
1584.0,59.92261625532042,15.933255166964468,279,1,1,27,1611.0,59.85586098405767,13.267633434388063,279.0,2.0,1.0,7149.0
1589.0,59.9377069492534,15.089165483745177,280,1,1,28,1617.0,59.87321546060563,13.224020573157851,280.0,2.0,1.0,7150.0
1593.0,59.95626769609199,15.149339211273809,281,1,1,29,1623.0,59.88728854087964,14.531152122575648,281.0,2.0,1.0,7151.0
1596.0,59.975174610258485,15.558886056329278,282,1,1,30,1627.0,59.90329011133304,13.825721888436217,282.0,2.0,1.0,7152.0
1601.0,59.98840348834685,15.351109546115826,283,1,1,31,1631.0,59.92109165069,12.926989649027714,283.0,2.0,1.0,7153.0
1608.0,60.00089076900432,15.028545606836529,284,1,1,32,1636.0,59.93884995477842,13.229746570922511,284.0,2.0,1.0,7154.0
1614.0,60.01506738264064,15.089657439235774,285,1,1,33,1641.0,59.95415026562956,13.877468587248757,285.0,2.0,1.0,7155.0
1619.0,60.03251634036321,15.21279425978334,286,1,1,34,1646.0,59.96837278334566,14.724694643663469,286.0,2.0,1.0,7156.0
1615.0,60.089499027516624,15.082856701807398,287,1,1,35,1618.0,60.0771078779372,14.93797752108632,287.0,2.0,1.0,7157.0
1624.0,60.05174222073721,15.140128184546302,287,1,1,36,1651.0,59.98420499478138,14.94934669363943,287.0,2.0,1.0,7158.0
1619.0,60.11129741259345,15.149862323650453,288,1,1,37,1656.0,60.00146759599164,14.769483770773112,288.0,2.0,1.0,7159.0
1625.0,60.12874271581061,15.213673997723648,289,1,1,38,1662.0,60.02009007523376,14.45032384279314,289.0,2.0,1.0,7160.0
1631.0,60.14173279899721,15.162869937329669,290,1,1,39,1669.0,60.03154528243305,14.939367291592683,290.0,2.0,1.0,7161.0
1636.0,60.153863275090416,15.082676633904958,291,1,1,40,1675.0,60.0437558878426,14.88847212881222,291.0,2.0,1.0,7162.0
1640.0,60.17078575453131,15.627459959592551,292,1,1,41,1681.0,60.05561984955104,14.950923236261902,292.0,2.0,1.0,7163.0
1645.0,60.18864638145386,15.603188018996912,293,1,1,42,1688.0,60.07025559944932,14.812504583200097,293.0,2.0,1.0,7164.0
1650.0,60.209994087557845,15.346626611296616,294,1,1,43,1695.0,60.088530101027125,14.34310859328418,294.0,2.0,1.0,7165.0
1654.0,60.23178364853461,15.35076013412263,295,1,1,44,1702.0,60.10180516884861,14.680479757468763,295.0,2.0,1.0,7166.0
1656.0,60.25493946590406,15.046150138468354,296,1,1,45,1707.0,60.115683135823375,14.500450058505468,296.0,2.0,1.0,7167.0
1654.0,60.291370508034056,15.198117911458333,297,1,1,46,1712.0,60.1257276783761,14.92447128459104,297.0,2.0,1.0,7168.0
1657.0,60.30787323056579,15.021223629496884,298,1,1,47,1715.0,60.1444798576481,14.424586489114835,298.0,2.0,1.0,7169.0
1659.0,60.32814329682068,15.397151865085371,299,1,1,48,1719.0,60.15830968580013,14.823579362630602,299.0,2.0,1.0,7170.0
1661.0,60.34623786631981,15.841763984591246,300,1,1,49,1722.0,60.1735554775729,14.889300877638002,300.0,2.0,1.0,7171.0
1664.0,60.35839069201774,15.209587530557505,301,1,1,50,1724.0,60.190616499673496,14.37062032726348,301.0,2.0,1.0,7172.0
1666.0,60.37381031091614,15.217452660603373,302,1,1,51,1727.0,60.20387356435286,14.45974263438588,302.0,2.0,1.0,7173.0
1668.0,60.38911985097288,15.384020568281718,303,1,1,52,1730.0,60.21743358575857,14.368462633840764,303.0,2.0,1.0,7174.0
1670.0,60.406702910806096,15.65385559535966,304,1,1,53,1734.0,60.22933464721833,14.796297411362891,304.0,2.0,1.0,7175.0
1673.0,60.42170370209514,15.450826678095488,305,1,1,54,1737.0,60.24779428959115,14.291187744155057,305.0,2.0,1.0,7176.0
1676.0,60.43659588507585,15.265278723062282,306,1,1,55,1742.0,60.25746094681463,14.975837756195547,306.0,2.0,1.0,7177.0
1679.0,60.453574560654,15.37190023070908,307,1,1,56,1746.0,60.27324803655804,14.736917056975582,307.0,2.0,1.0,7178.0
1683.0,60.47016576716437,15.171468430460385,308,1,1,57,1750.0,60.29038126588093,14.46077858106744,308.0,2.0,1.0,7179.0
1688.0,60.48786474193908,15.12522809980304,309,1,1,58,1756.0,60.302103170861336,14.929195569227096,309.0,2.0,1.0,7180.0
1682.0,60.55498838978647,15.804817605142953,310,1,1,59,1684.0,60.54676654984487,14.76168911266368,310.0,2.0,1.0,7181.0
1693.0,60.5035916640276,15.257982217295991,310,1,1,60,1760.0,60.31679217054653,14.6834432444394,310.0,2.0,1.0,7182.0
1687.0,60.56957760130664,15.049971388359715,311,1,1,61,1689.0,60.56155077031484,14.60002417791321,311.0,2.0,1.0,7183.0
1697.0,60.521779085451975,16.73469183556173,311,1,1,62,1766.0,60.320364991925146,14.996189534942411,311.0,2.0,1.0,7184.0
1702.0,60.53714707505903,16.342971043015954,312,1,1,63,1774.0,60.315819700094536,14.845268356834444,312.0,2.0,1.0,7185.0
1707.0,60.55542465003329,16.557606375733872,313,1,1,64,1780.0,60.32126042401389,14.779469301762434,313.0,2.0,1.0,7186.0
1712.0,60.570515031225234,16.303118430221133,314,1,1,65,1774.0,60.37535595607324,14.964681815563653,314.0,2.0,1.0,7187.0
1777.0,60.36279172430188,15.03742174608076,314,1,1,66,1786.0,60.3263296288881,14.763620332889676,314.0,2.0,1.0,7188.0
1717.0,60.58229041174664,15.185967255949322,315,1,1,67,1775.0,60.40104114334703,14.830582084922344,315.0,2.0,1.0,7189.0
1783.0,60.36709099657882,15.011822357760948,315,1,1,68,1792.0,60.33109895289577,14.641554117397204,315.0,2.0,1.0,7190.0
1720.0,60.60035288466101,16.719511484146313,316,1,1,69,1775.0,60.43104983666122,14.85647682392901,316.0,2.0,1.0,7191.0
1788.0,60.37490049148335,15.154369184216383,316,1,1,70,1797.0,60.33985808503182,14.477201206153753,316.0,2.0,1.0,7192.0
1724.0,60.61226821594291,15.72726369728102,317,1,1,71,1777.0,60.45253953953242,14.35236030566054,317.0,2.0,1.0,7193.0
1792.0,60.38512684346627,15.476498071207414,317,1,1,72,1802.0,60.34740155579533,14.85547240402627,317.0,2.0,1.0,7194.0
1728.0,60.625875114820246,15.80986116495584,318,1,1,73,1781.0,60.468002298976096,14.03933579097308,318.0,2.0,1.0,7195.0
1797.0,60.393130152053935,15.151525514745828,318,1,1,74,1806.0,60.361464482847126,13.735365463719209,318.0,2.0,1.0,7196.0
1733.0,60.64007641850755,15.180142330450977,319,1,1,75,1786.0,60.48267133960845,14.31409058064186,319.0,2.0,1.0,7197.0
1802.0,60.40417138041896,15.075898738126131,319,1,1,76,1811.0,60.373645632186495,14.096545630451516,319.0,2.0,1.0,7198.0
1737.0,60.65962590739155,15.878109600779588,320,1,1,77,1791.0,60.49842798416269,13.993058275245346,320.0,2.0,1.0,7199.0
1806.0,60.42092672362763,16.36007485862261,320,1,1,78,1816.0,60.38707179853584,14.358622370696564,320.0,2.0,1.0,7200.0
1742.0,60.6751110596179,15.734074666069889,321,1,1,79,1797.0,60.50968558211683,14.557364116576682,321.0,2.0,1.0,7201.0
1811.0,60.43374580528618,16.06018995230956,321,1,1,80,1820.0,60.4043181329457,13.3332444324665,321.0,2.0,1.0,7202.0
1747.0,60.68733762942056,15.025231500453875,322,1,1,81,1802.0,60.52091357684158,14.798922501112123,322.0,2.0,1.0,7203.0
1816.0,60.44322377982736,15.10145067746088,322,1,1,82,1824.0,60.41724515315994,13.454472396312385,322.0,2.0,1.0,7204.0
1751.0,60.70260661124984,15.123176912201435,323,1,1,83,1806.0,60.53463823049411,14.048181212473636,323.0,2.0,1.0,7205.0
1820.0,60.45618692141665,15.720582339880217,323,1,1,84,1828.0,60.42893557085223,13.91861326640611,323.0,2.0,1.0,7206.0
1755.0,60.71893253471008,15.562830643967532,324,1,1,85,1811.0,60.545942249630144,14.247825243476148,324.0,2.0,1.0,7207.0
1825.0,60.46770488730248,15.33976540237666,324,1,1,86,1832.0,60.442781579074655,14.123883736280916,324.0,2.0,1.0,7208.0
1760.0,60.73120872750852,15.278217786436402,325,1,1,87,1816.0,60.55853643333246,13.788389583156556,325.0,2.0,1.0,7209.0
1830.0,60.481251264133725,15.91132248594006,325,1,1,88,1836.0,60.4583061607912,14.205620320862405,325.0,2.0,1.0,7210.0
1764.0,60.74595933148338,15.375931844172284,326,1,1,89,1822.0,60.56582528664234,14.659565433361186,326.0,2.0,1.0,7211.0
1836.0,60.490432040071816,15.598438165169147,326,1,1,90,1839.0,60.47815681929167,14.700566780060097,326.0,2.0,1.0,7212.0
1768.0,60.757181409663815,15.435291993426755,327,1,1,91,1827.0,60.5731179926332,14.985466135342795,327.0,2.0,1.0,7213.0
1772.0,60.76492627012254,15.179297461554205,328,1,1,92,1809.0,60.65606098853392,14.66139296655811,328.0,2.0,1.0,7214.0
1812.0,60.64341812673526,15.26483384369262,328,1,1,93,1831.0,60.58198680800656,14.705680112212876,328.0,2.0,1.0,7215.0
1775.0,60.77516450773161,15.454452767290704,329,1,1,94,1813.0,60.66476152245846,14.96209284058514,329.0,2.0,1.0,7216.0
1817.0,60.647628374680174,15.200280640809355,329,1,1,95,1835.0,60.589873466861256,14.478714625258323,329.0,2.0,1.0,7217.0
1778.0,60.78364326585073,15.594679699173447,330,1,1,96,1816.0,60.67601930774588,14.936317572548788,330.0,2.0,1.0,7218.0
1821.0,60.654374751268406,15.112752807115736,330,1,1,97,1839.0,60.59607211380035,14.361918900524476,330.0,2.0,1.0,7219.0
1781.0,60.79255978567232,15.698109700771186,331,1,1,98,1819.0,60.68678043663323,14.889467124040827,331.0,2.0,1.0,7220.0
1824.0,60.66493848421928,15.54526529575011,331,1,1,99,1843.0,60.60195105983525,14.278897071659282,331.0,2.0,1.0,7221.0
1784.0,60.80423388883253,16.18525610368807,332,1,1,100,1822.0,60.70167751583499,14.623481027080077,332.0,2.0,1.0,7222.0
1829.0,60.67120859198225,15.062864018445262,332,1,1,101,1848.0,60.60727837005377,14.741097135028468,332.0,2.0,1.0,7223.0
1788.0,60.81808665276855,16.511732512095193,333,1,1,102,1827.0,60.71579383485679,14.808745665597137,333.0,2.0,1.0,7224.0
1834.0,60.68513303889456,15.265312234941804,333,1,1,103,1853.0,60.61950790388284,14.780278379950229,333.0,2.0,1.0,7225.0
1793.0,60.83346361054471,15.621741797074472,334,1,1,104,1833.0,60.73229213591771,14.635749351810372,334.0,2.0,1.0,7226.0
1841.0,60.697509260521706,15.167785560253614,334,1,1,105,1858.0,60.63825597637455,14.411927231632006,334.0,2.0,1.0,7227.0
1797.0,60.8540388714262,16.96173871581954,335,1,1,106,1839.0,60.74867148144054,14.76134278446607,335.0,2.0,1.0,7228.0
1848.0,60.708684789873416,15.389697776942308,335,1,1,107,1863.0,60.656442115563486,14.26142856723972,335.0,2.0,1.0,7229.0
1802.0,60.868346272954405,15.414076491279248,336,1,1,108,1844.0,60.7661502224963,14.553968323323016,336.0,2.0,1.0,7230.0
1855.0,60.71603526024772,15.225536684873624,336,1,1,109,1868.0,60.6707305207618,14.678285116173305,336.0,2.0,1.0,7231.0
