time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail
1485.0,59.49191064966289,15.14121661755307,251,1,2,0,1489.0,59.47582794360356,14.674740367525414,251.0,2.0,2.0,6140.0
1487.0,59.50625053906667,15.580363200169932,252,1,2,1,1494.0,59.47909386636655,14.57611164678221,252.0,2.0,2.0,6141.0
1490.0,59.51784952179023,15.117753082352865,253,1,2,2,1498.0,59.48848825929113,14.193464533248832,253.0,2.0,2.0,6142.0
1492.0,59.53544506396079,16.258835773404464,254,1,2,3,1503.0,59.49651082079877,14.496676765785317,254.0,2.0,2.0,6143.0
1496.0,59.54916078480319,15.762028194384545,255,1,2,4,1508.0,59.5089669212983,14.074429681823194,255.0,2.0,2.0,6144.0
1501.0,59.564348692857024,15.211225853303732,256,1,2,5,1515.0,59.51889634705371,14.75986412448737,256.0,2.0,2.0,6145.0
1504.0,59.5820492864062,16.391882585009597,257,1,2,6,1520.0,59.530271544421424,14.663747574329133,257.0,2.0,2.0,6146.0
1508.0,59.59402113695621,15.72715804175709,258,1,2,7,1524.0,59.54379557295654,14.096284210282285,258.0,2.0,2.0,6147.0
1512.0,59.60710872239503,16.031688235447206,259,1,2,8,1529.0,59.5535194799273,14.756921847621832,259.0,2.0,2.0,6148.0
1516.0,59.61952810263544,15.922121062144829,260,1,2,9,1533.0,59.56617581051145,14.66545163479048,260.0,2.0,2.0,6149.0
1521.0,59.6311417695099,15.214624433359486,261,1,2,10,1537.0,59.58253942513274,14.115506204660887,261.0,2.0,2.0,6150.0
1526.0,59.64612580817612,15.335902105885872,262,1,2,11,1542.0,59.59815561811836,14.251482691802172,262.0,2.0,2.0,6151.0
1530.0,59.66357230750619,15.422624129692792,263,1,2,12,1547.0,59.61005545464917,14.970391764089742,263.0,2.0,2.0,6152.0
1533.0,59.67716944924407,15.457399479241046,264,1,2,13,1550.0,59.62278028833701,14.589513618327397,264.0,2.0,2.0,6153.0
1535.0,59.68855520553407,15.505582422044435,265,1,2,14,1552.0,59.6332590424034,14.078561146760787,265.0,2.0,2.0,6154.0
1538.0,59.694953927213,15.040447791545574,266,1,2,15,1555.0,59.63860862564561,14.700624822971337,266.0,2.0,2.0,6155.0
1539.0,59.71621289318976,15.449008831858915,267,1,2,16,1558.0,59.64994188073941,14.590069988701105,267.0,2.0,2.0,6156.0
1542.0,59.74433555838343,15.310304664056588,268,1,2,17,1563.0,59.66868774480563,14.69911483467025,268.0,2.0,2.0,6157.0
1545.0,59.769018238436885,16.031412755964556,269,1,2,18,1567.0,59.68747008701592,14.986920229237665,269.0,2.0,2.0,6158.0
1548.0,59.78853477315446,16.297300752602176,270,1,2,19,1564.0,59.73391596242679,14.962574325972431,270.0,2.0,2.0,6159.0
