time,space,speed,v_id,wave_type,lane,unique_index
1489.0,59.47582794360356,14.674740367525414,251,2,2,6140
1494.0,59.47909386636655,14.57611164678221,252,2,2,6141
1498.0,59.48848825929113,14.193464533248832,253,2,2,6142
1503.0,59.49651082079877,14.496676765785317,254,2,2,6143
1508.0,59.5089669212983,14.074429681823194,255,2,2,6144
1515.0,59.51889634705371,14.75986412448737,256,2,2,6145
1520.0,59.530271544421424,14.663747574329133,257,2,2,6146
1524.0,59.54379557295654,14.096284210282285,258,2,2,6147
1529.0,59.5535194799273,14.756921847621832,259,2,2,6148
1533.0,59.56617581051145,14.66545163479048,260,2,2,6149
1537.0,59.58253942513274,14.115506204660887,261,2,2,6150
1542.0,59.59815561811836,14.251482691802172,262,2,2,6151
1547.0,59.61005545464917,14.970391764089742,263,2,2,6152
1550.0,59.62278028833701,14.589513618327397,264,2,2,6153
1552.0,59.6332590424034,14.078561146760787,265,2,2,6154
1555.0,59.63860862564561,14.700624822971337,266,2,2,6155
1558.0,59.64994188073941,14.590069988701105,267,2,2,6156
1563.0,59.66868774480563,14.69911483467025,268,2,2,6157
1567.0,59.68747008701592,14.986920229237665,269,2,2,6158
1564.0,59.73391596242679,14.962574325972431,270,2,2,6159
1567.0,59.75276082609751,14.393325842505789,271,2,2,6160
1572.0,59.76754367262763,14.716301599076312,272,2,2,6161
1578.0,59.78920807084028,13.982135167149703,273,2,2,6162
1585.0,59.80925605858619,14.144210477514394,274,2,2,6163
1591.0,59.82444368046613,14.642223973040204,275,2,2,6164
1596.0,59.83668231393254,14.318892925297328,276,2,2,6165
1601.0,59.84745991830855,14.531076093019518,277,2,2,6166
1605.0,59.86201466586466,13.947829645127324,278,2,2,6167
1610.0,59.87596635594665,14.06296199859541,279,2,2,6168
1616.0,59.89457430522207,13.74664869747789,280,2,2,6169
1623.0,59.91392874908226,13.817263612185648,281,2,2,6170
1630.0,59.93333595381612,14.415286195835987,282,2,2,6171
1636.0,59.950683462974354,14.629787333567318,283,2,2,6172
1641.0,59.96475835750572,14.797563311598878,284,2,2,6173
1645.0,59.97684544959817,14.51803244527468,285,2,2,6174
1649.0,59.9856384044495,14.665716087804356,286,2,2,6175
1653.0,59.99502100618335,14.60959549895356,287,2,2,6176
1658.0,60.003378019205336,14.81607366014108,288,2,2,6177
1664.0,60.01364672526797,14.928254431165872,289,2,2,6178
1670.0,60.028055833832745,14.87043145427321,290,2,2,6179
1674.0,60.04407260897637,14.38036746352681,291,2,2,6180
1679.0,60.053465241380295,14.97117384803431,292,2,2,6181
1683.0,60.068407517579146,14.56698767736862,293,2,2,6182
1688.0,60.08175586554145,14.779511981157862,294,2,2,6183
1692.0,60.097602098517,14.275593135131937,295,2,2,6184
1696.0,60.10904684039518,14.17521996114016,296,2,2,6185
1700.0,60.1169530882734,14.670391968579173,297,2,2,6186
1703.0,60.12893269409708,14.42828061616314,298,2,2,6187
1706.0,60.14045747295902,14.10249726231256,299,2,2,6188
1710.0,60.14837161176031,14.722999270174055,300,2,2,6189
1713.0,60.16296058743493,13.9191159044558,301,2,2,6190
1717.0,60.17400362033235,14.057001904630289,302,2,2,6191
1720.0,60.18388679996338,13.979317192543938,303,2,2,6192
1723.0,60.1940692632047,14.049195097793172,304,2,2,6193
1727.0,60.20617331391512,14.402523869504176,305,2,2,6194
1733.0,60.22532361332724,14.774211029971632,306,2,2,6195
1740.0,60.25123269226454,14.969488766690557,307,2,2,6196
1744.0,60.27357523275055,14.388193533284223,308,2,2,6197
1748.0,60.28952955460438,14.421870238728998,309,2,2,6198
1752.0,60.30034329574277,14.730299354249516,310,2,2,6199
1755.0,60.31006357234403,14.757857464144918,311,2,2,6200
1758.0,60.319043945071286,14.773884509510918,312,2,2,6201
1761.0,60.32790376360508,14.893856894583203,313,2,2,6202
1763.0,60.34222517625092,14.793656955798644,314,2,2,6203
1765.0,60.36084711050647,14.640235914841362,315,2,2,6204
1768.0,60.37770898281877,14.671325949053784,316,2,2,6205
1771.0,60.397733213667934,14.703534768878924,317,2,2,6206
1775.0,60.41781704144243,14.98300460716099,318,2,2,6207
1779.0,60.44040616889226,14.375447765516014,319,2,2,6208
1784.0,60.461366121862895,14.343960199428569,320,2,2,6209
1789.0,60.47501852489629,14.70007533131355,321,2,2,6210
1794.0,60.48705859434099,14.94828320414577,322,2,2,6211
1785.0,60.55496835148366,14.861540350799295,323,2,2,6212
1798.0,60.503490805183695,14.692393678232264,323,2,2,6213
1789.0,60.57633791943462,14.70046441857399,324,2,2,6214
1803.0,60.518998163636674,14.825334174730749,324,2,2,6215
1794.0,60.59816911030401,14.33508139792821,325,2,2,6216
1808.0,60.53891152993924,14.952071269909014,325,2,2,6217
1799.0,60.61245665062847,14.697039842663882,326,2,2,6218
