time_front,space_front,speed_front,v_id_front,wave_type_front,lane_front,unique_index_front,time_tail,space_tail,speed_tail,v_id_tail,wave_type_tail,lane_tail,unique_index_tail,trace_id_front,trace_id_tail,c_id
2024.0,61.51838097923762,15.203002347407832,386,1,4,5,2031.0,61.490430914628064,14.921775727193658,386.0,2.0,4.0,5546.0,4,4,1
2026.0,61.53033326898413,15.269187842700864,387,1,4,6,2034.0,61.49944960600017,14.316755856145996,387.0,2.0,4.0,5547.0,4,4,1
2029.0,61.53960357294411,15.214205518096415,388,1,4,7,2038.0,61.50504455119329,14.46141803101616,388.0,2.0,4.0,5548.0,4,4,1
2033.0,61.55179774009897,15.23960157342302,389,1,4,8,2044.0,61.5096352881224,14.90164053525848,389.0,2.0,4.0,5549.0,4,4,1
2038.0,61.56903347866615,15.36896513381145,390,1,4,9,2049.0,61.52677953340131,14.45772421727001,390.0,2.0,4.0,5550.0,4,4,1
2045.0,61.577692316123695,15.43628962832424,391,1,4,10,2054.0,61.54191107095746,14.711403017155233,391.0,2.0,4.0,5551.0,4,4,1
2053.0,61.57680184250908,15.197935612894248,392,1,4,11,2058.0,61.556388293033606,14.77853035276805,392.0,2.0,4.0,5552.0,4,4,1
2024.0,61.51838097923762,15.203002347407832,386,1,4,5,2031.0,61.490430914628064,14.921775727193658,386.0,2.0,4.0,5546.0,4,4,1
2026.0,61.53033326898413,15.269187842700864,387,1,4,6,2034.0,61.49944960600017,14.316755856145996,387.0,2.0,4.0,5547.0,4,4,1
2029.0,61.53960357294411,15.214205518096415,388,1,4,7,2038.0,61.50504455119329,14.46141803101616,388.0,2.0,4.0,5548.0,4,4,1
2033.0,61.55179774009897,15.23960157342302,389,1,4,8,2044.0,61.5096352881224,14.90164053525848,389.0,2.0,4.0,5549.0,4,4,1
2038.0,61.56903347866615,15.36896513381145,390,1,4,9,2049.0,61.52677953340131,14.45772421727001,390.0,2.0,4.0,5550.0,4,4,1
2045.0,61.577692316123695,15.43628962832424,391,1,4,10,2054.0,61.54191107095746,14.711403017155233,391.0,2.0,4.0,5551.0,4,4,1
2053.0,61.57680184250908,15.197935612894248,392,1,4,11,2058.0,61.556388293033606,14.77853035276805,392.0,2.0,4.0,5552.0,4,4,1
2048.0,61.70799813185833,15.024966192464005,396,1,4,12,2051.0,61.695607431765566,14.954468282108126,396.0,2.0,4.0,5553.0,5,5,2
2050.0,61.73005347051351,15.25148475788704,397,1,4,13,2058.0,61.69886058771116,14.719275381501186,397.0,2.0,4.0,5554.0,5,5,2
2054.0,61.74707887562773,15.013984595713646,398,1,4,14,2064.0,61.710046764530766,14.494783976452927,398.0,2.0,4.0,5555.0,5,5,2
2057.0,61.76688892400442,15.593539618629372,399,1,4,15,2070.0,61.72116560155232,14.391215909438175,399.0,2.0,4.0,5556.0,5,5,2
2060.0,61.783412450866464,16.0370113042416,400,1,4,16,2075.0,61.73316934757697,14.183885309393004,400.0,2.0,4.0,5557.0,5,5,2
2064.0,61.79396349904163,15.205777083112162,401,1,4,19,2079.0,61.74500318906778,14.193392930854776,401.0,2.0,4.0,5560.0,5,5,2
2068.0,61.80476748695733,15.04945823702892,402,1,4,22,2083.0,61.754309204817,14.951335006731403,402.0,2.0,4.0,5563.0,5,5,2
2071.0,61.81927762007211,16.286627101992554,403,1,4,24,2085.0,61.770907148726366,14.37154875520923,403.0,2.0,4.0,5565.0,5,5,2
2075.0,61.82980323210767,15.982930716955858,404,1,4,26,2087.0,61.786501871859215,14.52542341852834,404.0,2.0,4.0,5567.0,5,5,2
2080.0,61.83551560889791,15.270064433974206,405,1,4,28,2088.0,61.80439253025432,14.752589748659371,405.0,2.0,4.0,5569.0,5,5,2
2048.0,61.70799813185833,15.024966192464005,396,1,4,12,2051.0,61.695607431765566,14.954468282108126,396.0,2.0,4.0,5553.0,5,5,2
2050.0,61.73005347051351,15.25148475788704,397,1,4,13,2058.0,61.69886058771116,14.719275381501186,397.0,2.0,4.0,5554.0,5,5,2
2054.0,61.74707887562773,15.013984595713646,398,1,4,14,2064.0,61.710046764530766,14.494783976452927,398.0,2.0,4.0,5555.0,5,5,2
2057.0,61.76688892400442,15.593539618629372,399,1,4,15,2070.0,61.72116560155232,14.391215909438175,399.0,2.0,4.0,5556.0,5,5,2
2060.0,61.783412450866464,16.0370113042416,400,1,4,16,2075.0,61.73316934757697,14.183885309393004,400.0,2.0,4.0,5557.0,5,5,2
2064.0,61.79396349904163,15.205777083112162,401,1,4,19,2079.0,61.74500318906778,14.193392930854776,401.0,2.0,4.0,5560.0,5,5,2
2068.0,61.80476748695733,15.04945823702892,402,1,4,22,2083.0,61.754309204817,14.951335006731403,402.0,2.0,4.0,5563.0,5,5,2
2071.0,61.81927762007211,16.286627101992554,403,1,4,24,2085.0,61.770907148726366,14.37154875520923,403.0,2.0,4.0,5565.0,5,5,2
2075.0,61.82980323210767,15.982930716955858,404,1,4,26,2087.0,61.786501871859215,14.52542341852834,404.0,2.0,4.0,5567.0,5,5,2
2080.0,61.83551560889791,15.270064433974206,405,1,4,28,2088.0,61.80439253025432,14.752589748659371,405.0,2.0,4.0,5569.0,5,5,2
2358.0,59.21742763255215,15.139764903640684,400,1,4,18,2363.0,59.19687862001755,14.9618925642235,400.0,2.0,4.0,5559.0,7,7,3
2360.0,59.23799769927664,15.017315440878184,401,1,4,21,2369.0,59.20287103640004,14.738239983231164,401.0,2.0,4.0,5562.0,7,7,3
2362.0,59.25954740553664,16.180185026771273,402,1,4,23,2377.0,59.20343444981488,14.849998952376346,402.0,2.0,4.0,5564.0,7,7,3
2366.0,59.27720785226559,16.470174914934923,403,1,4,25,2384.0,59.21463348076615,14.252609253458488,403.0,2.0,4.0,5566.0,7,7,3
2371.0,59.29533431878547,16.135646586699448,404,1,4,27,2392.0,59.2287815263504,13.965178428143307,404.0,2.0,4.0,5568.0,7,7,3
2375.0,59.31275676854951,17.038867585951618,405,1,4,29,2398.0,59.24375442561343,13.956780878691475,405.0,2.0,4.0,5570.0,7,7,3
