time,space,speed,v_id,wave_type,lane,unique_index
180.0,62.21552224212687,16.234062002086905,30,1,4,0
177.0,62.27192059098862,16.804906525484498,31,1,4,1
2158.0,59.25609046793956,15.107828291443637,370,1,4,2
2161.0,59.26630809279825,15.153566671193245,371,1,4,3
2165.0,59.27061572406279,15.048543477626705,372,1,4,4
2024.0,61.51838097923762,15.203002347407832,386,1,4,5
2026.0,61.53033326898413,15.269187842700864,387,1,4,6
2029.0,61.53960357294411,15.214205518096415,388,1,4,7
2033.0,61.55179774009897,15.23960157342302,389,1,4,8
2038.0,61.56903347866615,15.36896513381145,390,1,4,9
2045.0,61.577692316123695,15.43628962832424,391,1,4,10
2053.0,61.57680184250908,15.197935612894248,392,1,4,11
2048.0,61.70799813185833,15.024966192464005,396,1,4,12
2050.0,61.73005347051351,15.25148475788704,397,1,4,13
2054.0,61.74707887562773,15.013984595713646,398,1,4,14
2057.0,61.76688892400442,15.593539618629372,399,1,4,15
2060.0,61.783412450866464,16.0370113042416,400,1,4,16
2098.0,61.61888582126545,15.053858488638536,400,1,4,17
2358.0,59.21742763255215,15.139764903640684,400,1,4,18
2064.0,61.79396349904163,15.205777083112162,401,1,4,19
2102.0,61.63115017720877,15.067825794304651,401,1,4,20
2360.0,59.23799769927664,15.017315440878184,401,1,4,21
2068.0,61.80476748695733,15.04945823702892,402,1,4,22
2362.0,59.25954740553664,16.180185026771273,402,1,4,23
2071.0,61.81927762007211,16.286627101992554,403,1,4,24
2366.0,59.27720785226559,16.470174914934923,403,1,4,25
2075.0,61.82980323210767,15.982930716955858,404,1,4,26
2371.0,59.29533431878547,16.135646586699448,404,1,4,27
2080.0,61.83551560889791,15.270064433974206,405,1,4,28
2375.0,59.31275676854951,17.038867585951618,405,1,4,29
2379.0,59.32342439989689,16.220329314076178,406,1,4,30
2383.0,59.33431975450706,15.356622070689024,407,1,4,31
2387.0,59.35230207028975,16.014137216621428,408,1,4,32
2392.0,59.36957056952674,15.301613561067873,409,1,4,33
2396.0,59.40561341705612,15.323653881107854,410,1,4,34
2141.0,61.69013854680316,15.01893802434266,411,1,4,35
2401.0,59.44624878285767,16.335961434303865,411,1,4,36
2143.0,61.70639377843338,15.153803723319108,412,1,4,37
2406.0,59.46324303801512,15.391580684028163,412,1,4,38
2145.0,61.71935525943969,15.256227865180906,413,1,4,39
2409.0,59.47469536813248,15.598373956171391,413,1,4,40
2451.0,59.31926095707551,15.122307963130854,413,1,4,41
2147.0,61.73248555628444,15.390116544404416,414,1,4,42
2412.0,59.48482979852104,15.416877332478782,414,1,4,43
2454.0,59.327280295885465,15.423765045321902,414,1,4,44
2149.0,61.74694337477317,16.06923490096089,415,1,4,45
2415.0,59.49687205076363,16.17083336569184,415,1,4,46
2458.0,59.331934042347854,15.23403201878504,415,1,4,47
2152.0,61.7573648930924,15.8539678311277,416,1,4,48
2418.0,59.50952757719831,17.11292681694244,416,1,4,49
2462.0,59.33645171745545,15.027029147275716,416,1,4,50
2155.0,61.766849456227966,15.169253308828033,417,1,4,51
2422.0,59.52050892603305,16.6118394438002,417,1,4,52
2466.0,59.342301844877085,15.009909014157822,417,1,4,53
2158.0,61.7786861722804,15.063392673188153,418,1,4,54
2427.0,59.53562460202127,16.52485825187716,418,1,4,55
2471.0,59.34939609507734,15.178667652635117,418,1,4,56
2161.0,61.79462430884109,15.689382732757494,419,1,4,57
2383.0,59.88467860715422,15.117971221685748,419,1,4,58
2433.0,59.554023107988456,16.312117378767432,419,1,4,59
2165.0,61.81191193290218,16.16523853410963,420,1,4,60
2388.0,59.90373634633048,15.259809653478904,420,1,4,61
